"Guid","AccountId","Amount","CloseDate","ContactId","Description","ForecastCategoryName","IsExcludedFromTerritory2Filter","LeadSource","Name","NextStep","Probability","SBQQ__Contracted__c","SBQQ__CreateContractedPrices__c","SBQQ__OrderGroupID__c","SBQQ__Ordered__c","SBQQ__PrimaryQuote__c","SBQQ__QuotePricebookId__c","SBQQ__Renewal__c","StageName","Type","sbaa__ApprovalStatus__c","sbaa__ApprovalStep__c","sbaa__StepApproved__c","sbaa__SubmittedDate__c"
001e517c-abb9-428c-b078-e2f1f91364ad,85ba3807-6352-40a7-af94-338d0bb4d2df,11250.0,2023-05-12,"#N/A","#N/A",Pipeline,false,"#N/A",Plambee - Cross-sell,"#N/A",75.0,false,false,"#N/A",false,"#N/A","#N/A",false,Proposal/Price Quote,"#N/A","#N/A","#N/A",false,"#N/A"
00281a38-1d98-4349-b5be-35c054b5581d,ad385796-421e-4f26-9200-330e72c27aef,72395.0,2022-10-13,"#N/A","#N/A",Omitted,false,"#N/A",Wikibox - Initial Sale,"#N/A",0.0,false,false,"#N/A",false,"#N/A","#N/A",false,Closed Lost,"#N/A","#N/A","#N/A",false,"#N/A"
007737b7-175e-4514-b415-7118865da218,5a65618c-ed15-485f-a44d-e453b5d1e9be,100082.0,2023-07-02,"#N/A","#N/A",Pipeline,false,"#N/A",Skyba - Upsell,"#N/A",10.0,false,false,"#N/A",false,"#N/A","#N/A",false,Qualification,"#N/A","#N/A","#N/A",false,"#N/A"
0112b45e-b800-4d48-bfe8-552156f56c63,59fdc10e-c914-4bb0-be57-54b1f23d2845,100082.0,2023-07-02,"#N/A","#N/A",Pipeline,false,"#N/A",Quinu - Upsell,"#N/A",10.0,false,false,"#N/A",false,"#N/A","#N/A",false,Qualification,"#N/A","#N/A","#N/A",false,"#N/A"
01821b2b-9adf-41bc-96fb-6f90d9e06f51,21ee1795-bf1f-49db-9870-1bb1138114cf,11550.0,2023-05-12,"#N/A","#N/A",Pipeline,false,"#N/A",Dynabox - Cross-sell,"#N/A",75.0,false,false,"#N/A",false,"#N/A","#N/A",false,Proposal/Price Quote,"#N/A","#N/A","#N/A",false,"#N/A"
02265ac5-690a-4abb-909f-a4afc4f8c733,d5463eaa-9423-4017-aee4-c39fe4a78f1a,11250.0,2023-05-12,"#N/A","#N/A",Pipeline,false,"#N/A",Eidelr-Ashpool - Cross-sell,"#N/A",75.0,false,false,"#N/A",false,"#N/A","#N/A",false,Proposal/Price Quote,"#N/A","#N/A","#N/A",false,"#N/A"
02c9ae31-d90e-46f6-88a2-61d98a82020d,891776eb-089d-49ee-b6d4-8f50cd69ed59,100082.0,2023-07-02,"#N/A","#N/A",Pipeline,false,"#N/A",Eazzy - Upsell,"#N/A",10.0,false,false,"#N/A",false,"#N/A","#N/A",false,Qualification,"#N/A","#N/A","#N/A",false,"#N/A"
02d9cb3f-6350-454b-9553-65f83aa97a74,db08dc8b-75d1-4130-a3e6-2a7d0948cc8e,34995.0,2023-03-08,"#N/A","#N/A",Pipeline,false,"#N/A",Feedbug - Additional Sale,"#N/A",50.0,false,false,"#N/A",false,"#N/A","#N/A",false,Value Proposition,"#N/A","#N/A","#N/A",false,"#N/A"
0328eb20-3068-4ca5-8707-ad113a3e800a,0d0aa43c-977b-4602-b67f-6809bae03c02,34350.0,2023-03-28,"#N/A","#N/A",Pipeline,false,"#N/A",Yodel - Cross-sell,"#N/A",75.0,false,false,"#N/A",false,"#N/A","#N/A",false,Proposal/Price Quote,"#N/A","#N/A","#N/A",false,"#N/A"
0337e964-1ce6-45d7-a530-7dd74d7816e8,3a0bfcab-7f45-48e9-b0b5-42eaf36db729,75000.0,2023-07-02,"#N/A","#N/A",Pipeline,false,"#N/A",Topiclounge - Upsell,"#N/A",10.0,false,false,"#N/A",false,"#N/A","#N/A",false,Qualification,"#N/A","#N/A","#N/A",false,"#N/A"
035d4693-26cb-4559-9b27-b0950d7f8082,05fbe255-922f-40f4-abf0-d0eaae353cca,72395.0,2022-10-13,"#N/A","#N/A",Omitted,false,"#N/A",Tagtune - Initial Sale,"#N/A",0.0,false,false,"#N/A",false,"#N/A","#N/A",false,Closed Lost,"#N/A","#N/A","#N/A",false,"#N/A"
03647b8c-4e2b-486b-9793-b41688644772,d8fd1754-f5d8-4b61-860d-f735cb131ff5,72395.0,2023-05-04,"#N/A","#N/A",Pipeline,false,"#N/A",Jabberstorm - Initial Sale,"#N/A",10.0,false,false,"#N/A",false,"#N/A","#N/A",false,Prospecting,"#N/A","#N/A","#N/A",false,"#N/A"
03bc809c-1f6d-4a89-8139-ca554fb552df,6257cd80-ed96-4ee2-bd99-682d7c7415d2,32395.00000002,2023-04-13,"#N/A","#N/A",Closed,false,"#N/A",Wikizz - Secondary Sale,"#N/A",100.0,false,false,"#N/A",false,"#N/A","#N/A",false,Closed Won,"#N/A","#N/A","#N/A",false,"#N/A"
03bcca2c-413c-4ecf-9626-230d6107bdd4,c5a4a184-ce7f-41da-b398-360d72b51c25,72395.0,2023-04-28,"#N/A","#N/A",Pipeline,false,"#N/A",Oloo - SOW 3,"#N/A",20.0,false,false,"#N/A",false,"#N/A","#N/A",false,Needs Analysis,"#N/A","#N/A","#N/A",false,"#N/A"
